Education_Method,Score,Satisfaction
Traditional,93.82026172983832,3.3467365741323416
Traditional,87.00078604183612,4.829065339809094
Traditional,89.8936899205287,3.9409179774357153
Traditional,96.20446599600729,3.659910898001575
Traditional,94.33778995074984,4.333191541015957
Traditional,80.11361060061795,3.769640106305723
Traditional,89.75044208762795,3.3328707642986233
Traditional,84.2432139585115,3.3266412471012226
Traditional,84.48390574103222,4.346886576345066
Traditional,87.05299250969186,3.9202132809268666
Traditional,85.72021785580439,3.9331492201657805
Traditional,92.27136753481487,4.538871902988132
Traditional,88.80518862573497,3.4365870956216282
Traditional,85.60837508246414,3.6346611235675876
Traditional,87.21931616372713,3.8075600954093622
Traditional,86.66837163687133,4.047175794658537
Traditional,92.47039536578804,3.9789142743547106
Traditional,83.97420868117099,3.856556403805046
Traditional,86.56533850825451,3.969186798952176
Traditional,80.72952130349138,3.9463473618544125
Traditional,72.23505092082961,3.6401978057241036
Traditional,88.2680929772018,3.5935035057229614
Traditional,89.32218099429753,4.13725817886197
Traditional,81.2891748979678,3.554542458502236
Traditional,96.34877311993804,3.421322370404573
Traditional,77.72817162700618,3.8438538744371535
Traditional,85.22879258650723,3.921166491918092
Traditional,84.06408074987083,5.128361748649104
Traditional,92.6638960717923,3.647649862071883
Traditional,92.34679384950142,4.471630362484747
Traditional,85.77473712848459,4.373594167102316
Traditional,86.89081259801087,3.405527522398132
Traditional,80.56107126184943,4.3866264887013
Traditional,75.09601765888037,3.4080596799033414
Traditional,83.26043925336924,2.67041388100163
Traditional,85.7817448455199,4.30315976217969
Traditional,91.1514534036386,3.1220547082811403
Traditional,91.01189924392206,4.225467230902957
Traditional,83.06336591296024,3.6579945511313916
Traditional,83.48848624712332,4.829775398094936
Traditional,79.75723517466454,4.534254699658004
Traditional,77.89991031410513,3.773307098074306
Traditional,76.46864904687493,3.656081194485659
Traditional,94.75387697615895,3.39296129845294
Traditional,82.45173909124173,3.7795386838537044
Traditional,82.80962849194407,3.8598222524077457
Traditional,78.73602319975036,3.8176532278041573
Traditional,88.88745177915955,4.078351927636182
Traditional,76.93051076221025,4.289260748864439
Traditional,83.93629859893015,4.174827228496587
Traditional,80.52266719403163,3.6179280380467786
Traditional,86.93451248929631,3.281104263099211
Traditional,82.44597431215564,4.682265924051236
Traditional,79.09683907938793,3.655275407725031
Traditional,84.85908885830672,3.6738532000324904
Traditional,87.14165935265208,3.7394053438494446
Traditional,85.33258611191584,3.0784652249216755
Traditional,86.5123594886989,3.7610129979797566
Traditional,81.82838953159518,3.7601720929960263
Traditional,83.18629417006431,4.3101791491717565
Traditional,81.63769776112025,4.349228574553668
Traditional,83.2022341922973,4.001885444543134
Traditional,80.93426858977773,4.465924187057152
Traditional,76.36858698834162,4.169982491900631
Traditional,85.88713071126877,3.9921589441987226
Traditional,82.99109531895868,4.080464084149112
Traditional,76.84900826516977,3.9046732532093005
Traditional,87.31391127762888,3.802575242983275
Traditional,80.46350817808379,3.866133231553017
Traditional,85.2597269789807,3.4359943342649966
Traditional,88.64545281088769,4.140220852658148
Traditional,85.64491455378705,3.5034381945352098
Traditional,90.6970034227165,4.420815632036819
Traditional,78.82587089823174,3.8752707099195254
Traditional,87.01170820588774,4.024747490825045
Traditional,81.57594954529843,4.246918388140478
Traditional,80.64601425409059,4.321657232531464
Traditional,82.10575167617792,3.2146882956832736
Traditional,83.44223733936313,3.8965481619180142
Traditional,85.28082671114873,4.440089456040391
Traditional,79.17425079608321,3.1509470902838728
Traditional,89.50413243477094,4.193640237697531
Traditional,87.3283121986523,2.8722178852989053
Traditional,77.31878156861389,3.488746578182198
Traditional,92.441260968978,4.019315275920094
Traditional,94.47944588015292,3.171642448839023
Traditional,90.89389785579826,3.5072446311579246
Traditional,84.10037582093824,3.2640824962682067
Traditional,79.64623689244729,4.82406746610378
Traditional,90.27225863465569,4.082113877743667
Traditional,82.98411526513411,4.283645138926334
Traditional,91.11222535191214,3.888662449742423
Traditional,86.0413748903843,3.8232841256214005
Traditional,89.88319518241856,3.1917629056744836
Traditional,86.781831985872,3.8540813186260685
Traditional,88.53286584095974,3.6192538940941885
Traditional,85.0525001036041,4.428961962146168
Traditional,93.92935246952918,4.570550933328787
Traditional,85.6345604635181,4.733289357787089
Traditional,87.00994681722351,4.426275969730616
Online,89.41575348528127,3.200673031538507
Online,73.26120469428777,2.942051507019803
Online,73.64757500757133,3.883331590822543
Online,84.84698354079006,3.6781464087361444
Online,74.1343829744292,2.6157307746614844
Online,89.71810592824646,3.6777408963718847
Online,77.93190509620126,3.907259911243933
Online,76.26272594279621,3.529462794590815
Online,89.61471013240192,3.4074731644953293
Online,87.40257395717212,3.096175756191822
Online,89.33779480213285,2.776732650218306
Online,84.53022329137693,3.9001489746700138
Online,75.69387157472649,3.3454427776141458
Online,89.55032476549516,3.3832666692281537
Online,78.6599831452431,4.366360593459566
Online,84.01228197898197,3.8422505534295954
Online,84.73625983886873,3.685412500640551
Online,79.22494953454583,3.571030902593618
Online,83.07039685173041,4.259997430382886
Online,84.61103335783264,4.359794653708097
Online,81.88212765577815,3.9647525557397643
Online,74.50299604707902,3.7911122956989622
Online,81.49119087103028,2.452698464396928
Online,86.63192948343516,3.561860957116753
Online,76.52716070134318,3.434946522903148
Online,79.25182729836165,3.5469766146927846
Online,77.82423224139181,3.971523043661259
Online,89.24631864239672,2.1301614164052216
Online,83.36147378506217,3.2153439732649076
Online,82.03730918120556,3.634952177470381
Online,76.15041962777342,3.266577226973619
Online,82.69624595645908,2.7915469434368703
Online,76.62833669671312,3.934481743448398
Online,80.15915279137175,3.638435952923064
Online,76.82076960810559,3.0144477147777575
Online,83.3821664747325,3.6574086022579118
Online,82.88295408307471,3.910792856024898
Online,78.95850622211003,3.5026463231496803
Online,81.98003356330823,3.9002824017154984
Online,74.53469245634747,3.5391300875808307
Online,72.54371203647197,3.3023855086728227
Online,82.19695850632269,2.9202897418000435
Online,80.83336747686265,3.4570346165141936
Online,83.17515718446053,3.597146469022886
Online,91.91572387431971,3.9379163807936655
Online,84.72239743495207,3.4424462657563866
Online,75.4358888727792,3.7287078031104954
Online,85.58508144047926,3.0176939931331357
